Date,Day,Time,Project,Story Card
2022-04-18,Monday,830,snappy,123
2022-04-18,Monday,1000,snappy,stu
2022-04-18,Monday,1015,snappy,123
2022-04-18,Monday,1115,snappy,47
2022-04-18,Monday,1200,venice,lunch
2022-04-18,Monday,1230,venice,26
2022-04-19,Tuesday,830,venice,vpn
2022-04-19,Tuesday,900,venice,33
2022-04-19,Tuesday,930,venice,34
2022-04-19,Tuesday,1000,venice,stu
2022-04-19,Tuesday,1015,venice,34
2022-04-19,Tuesday,1100,venice,33
2022-04-19,Tuesday,1200,lunch,lunch
2022-04-19,Tuesday,1230,venice,33
2022-04-19,Tuesday,1300,Venice,34
2022-04-22,Friday,1000,snappy,stu
2022-04-22,Friday,1000,snappy,stu
