Date,Day,Time,Project,Story Card
2022-07-25,Monday,830,Wilder,ENV
2022-07-25,Monday,945,Snappy,249
2022-07-25,Monday,1000,Wilder,STU
2022-07-25,Monday,1015,Snappy,249
2022-07-25,Monday,1100,Wilder,ENV
2022-07-25,Monday,1115,Wilder,13
2022-07-25,Monday,1200,lunch,lunch
2022-07-25,Monday,1230,Wilder,13
2022-07-25,Monday,1400,Wilder,SHP
2022-07-25,Monday,1430,Wilder,31
2022-07-25,Monday,1515,Wilder,40
2022-07-25,Monday,1715,end,end
2022-07-26,Tuesday,815,Wilder,SHP
2022-07-26,Tuesday,830,Wilder,SHO
2022-07-26,Tuesday,915,Wilder,SHP
2022-07-26,Tuesday,930,Wilder,31
2022-07-26,Tuesday,1000,Wilder,STU
2022-07-26,Tuesday,1015,Wilder,31
2022-07-26,Tuesday,1045,Wilder,13
2022-07-26,Tuesday,1145,Wilder,31
2022-07-26,Tuesday,1200,lunch,lunch
2022-07-26,Tuesday,1230,Wilder,31
