Date,Day,Time,Project,Story Card
2022-07-18,Monday,830,Wilder,28
2022-07-18,Monday,1000,Wilder,MCR
2022-07-18,Monday,1030,Wilder,31
2022-07-18,Monday,1200,Lunch,Lunch
2022-07-18,Monday,1230,Wilder,31
2022-07-18,Monday,1400,Wilder,STU
2022-07-18,Monday,1415,Wilder,SHP
2022-07-18,Monday,1500,Wilder,31
2022-07-18,Monday,1700,End,End
2022-07-19,Tuesday,815,Wilder,SHP
2022-07-19,Tuesday,830,Wilder,SHO
2022-07-19,Tuesday,930,Wilder,MSC
2022-07-19,Tuesday,1000,Wilder,STU
2022-07-19,Tuesday,1015,Wilder,MSC
2022-07-19,Tuesday,1115,Wilder,31
2022-07-19,Tuesday,1200,Lunch,lunch
2022-07-19,Tuesday,1230,Wilder,31
2022-07-19,Tuesday,1630,Menlo_Internal,Personnel feedback MZOL
2022-07-19,Tuesday,1645,Wilder,27
2022-07-19,Tuesday,1700,End,end
2022-07-20,Wednesday,830,Wilder,40
2022-07-20,Wednesday,1000,Wilder,STU
2022-07-20,Wednesday,1015,Wilder,40
2022-07-20,Wednesday,1200,Lunch,lunch
2022-07-20,Wednesday,1230,Wilder,40
2022-07-20,Wednesday,1245,Wilder,Kik
2022-07-20,Wednesday,1315,Wilder,40
2022-07-20,Wednesday,1700,End,end
2022-07-21,Thursday,830,Wilder,Env
2022-07-21,Thursday,930,Wilder,31
2022-07-21,Thursday,1000,Wilder,STU
2022-07-21,Thursday,1015,Wilder,31
2022-07-21,Thursday,1215,Lunch,lunch
2022-07-21,Thursday,1215,Personnel,Lunch w R + J
2022-07-21,Thursday,1300,Wilder,31
